ï»¿Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
1,43,1,9238,1,1,125.0,1,19,19,4,8,117.0,1,0,0,1,0,0,21,0,0,6,13,3,12.0,0,0,6,12,2,11.333333333333334,0,16.2,0.3,-0.92,Dropout
1,17,2,9254,1,1,125.0,1,37,37,9,8,122.6,1,0,1,0,0,0,20,0,0,6,8,4,11.75,0,0,6,6,6,13.166666666666666,0,11.1,0.6,2.02,Dropout
1,1,2,9500,1,1,123.0,1,34,34,90,90,113.3,1,0,0,1,0,0,20,0,0,7,8,4,11.95,0,0,7,8,4,11.95,0,7.6,2.6,0.32,Dropout
1,1,5,9853,1,1,141.0,1,37,19,9,5,133.0,1,0,0,1,0,0,18,0,0,6,8,5,12.4,0,0,6,12,5,10.4,0,9.4,-0.8,-3.12,Dropout
1,7,1,9500,1,3,140.0,1,1,1,9,5,140.0,0,0,0,1,0,0,33,0,2,7,8,6,14.35,0,3,8,10,6,14.583333333333334,0,16.2,0.3,-0.92,Dropout
1,39,1,9773,1,19,133.1,1,19,19,3,4,104.0,0,0,1,0,0,0,27,0,0,6,6,5,12.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout
1,18,3,9070,1,1,131.0,1,1,37,5,5,122.3,1,0,0,0,0,0,19,0,0,6,6,6,12.166666666666666,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout
1,17,2,9254,1,1,143.0,1,1,19,4,6,135.0,0,0,0,1,0,0,20,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout
1,18,2,9147,1,1,132.0,1,3,3,5,7,119.1,1,0,1,0,0,0,20,0,0,5,9,3,10.0,0,0,5,9,3,10.571428571428571,0,10.8,1.4,1.74,Dropout
1,39,1,9085,1,1,133.1,1,1,19,9,9,162.3,1,0,0,1,0,0,24,0,0,6,10,2,11.0,0,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout
1,39,1,9147,1,1,140.0,1,12,3,4,3,118.0,1,0,0,1,0,0,24,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
1,51,1,9853,1,1,139.0,1,1,1,4,10,134.0,0,0,0,1,0,0,21,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
1,39,1,9991,0,40,130.0,1,19,1,3,4,152.0,1,0,0,1,0,0,27,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,8.9,1.4,3.51,Dropout
1,7,1,9119,1,3,150.0,1,3,2,2,2,150.0,0,0,0,1,0,0,35,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,13.9,-0.3,0.79,Dropout
1,39,1,9254,1,19,133.1,1,3,19,2,3,124.5,0,0,0,1,0,1,36,0,0,6,7,6,13.714285714285714,0,0,6,6,5,12.8,0,16.2,0.3,-0.92,Dropout
1,39,1,9991,0,1,133.1,1,37,37,9,9,126.3,0,0,0,1,0,1,26,0,0,5,7,0,0.0,0,0,5,8,0,0.0,0,16.2,0.3,-0.92,Dropout
1,39,1,8014,0,1,120.0,1,19,37,8,7,100.0,1,0,0,1,0,0,24,0,0,6,11,1,10.0,0,0,6,6,0,0.0,6,9.4,-0.8,-3.12,Dropout
1,39,1,8014,0,1,133.1,1,1,19,5,4,102.5,0,0,0,1,0,1,27,0,0,6,16,1,10.0,0,0,6,13,0,0.0,0,8.9,1.4,3.51,Dropout
1,17,1,9085,1,1,121.0,1,19,37,1,3,131.5,0,0,0,1,0,0,21,0,0,5,10,0,0.0,1,0,5,9,2,13.5,0,7.6,2.6,0.32,Dropout
1,1,3,9254,1,1,115.0,1,1,1,3,3,117.5,1,0,0,1,0,0,18,0,0,6,9,4,11.25,0,0,6,13,2,12.5,0,9.4,-0.8,-3.12,Dropout
1,39,2,9670,1,1,140.0,1,34,34,0,0,97.0,1,0,0,1,0,0,28,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
1,39,1,9254,1,3,133.1,1,19,19,4,6,130.5,0,0,0,1,0,0,38,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
1,1,1,9147,1,1,133.1,1,37,1,9,10,100.0,0,0,0,1,0,0,21,0,0,5,12,3,12.0,0,0,5,12,1,15.0,3,16.2,0.3,-0.92,Dropout
1,1,1,9130,1,1,126.0,1,19,1,9,9,122.5,1,0,0,0,0,0,25,0,0,5,14,4,13.5,2,0,5,10,4,14.25,0,9.4,-0.8,-3.12,Dropout
1,39,1,9085,1,19,133.1,1,19,19,9,7,140.0,0,0,1,0,0,0,24,0,2,6,11,3,11.75,0,1,6,14,3,10.333333333333334,0,16.2,0.3,-0.92,Dropout
1,39,1,9147,1,1,120.0,1,37,1,9,1,122.7,0,0,0,0,0,0,25,0,0,5,5,0,0.0,0,0,5,9,0,0.0,0,10.8,1.4,1.74,Dropout
1,44,1,9003,1,39,130.0,1,37,37,9,10,130.0,0,0,1,0,0,0,29,0,0,6,13,3,12.75,0,0,6,8,3,11.333333333333334,0,13.9,-0.3,0.79,Dropout
1,1,3,9773,1,1,131.0,1,38,37,7,7,127.2,1,0,0,1,0,1,18,0,0,6,6,6,15.0,0,0,6,6,6,12.833333333333334,0,8.9,1.4,3.51,Dropout
2,39,1,9556,1,19,133.1,1,38,37,7,7,99.5,1,0,1,0,0,1,37,0,0,7,13,1,16.0,0,0,7,12,0,0.0,0,8.9,1.4,3.51,Dropout
1,43,1,9238,1,1,124.0,1,1,1,3,1,118.8,1,0,1,0,0,0,22,0,6,10,16,6,11.833333333333334,0,2,7,8,2,13.0,0,16.2,0.3,-0.92,Dropout
1,39,1,8014,0,1,100.0,1,37,37,99,99,100.0,0,0,0,1,0,0,34,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
1,43,1,9119,1,1,130.0,1,37,38,9,9,120.0,0,0,1,0,0,0,30,0,8,12,17,8,11.75,0,6,12,19,6,12.166666666666666,2,7.6,2.6,0.32,Dropout
1,1,2,9147,1,1,121.0,1,1,19,9,9,113.7,1,0,0,0,0,0,20,0,0,5,10,2,10.0,0,0,5,12,1,13.0,0,7.6,2.6,0.32,Dropout
1,42,1,9853,1,1,120.0,1,37,38,3,3,113.7,0,0,0,1,0,0,20,0,0,6,8,5,11.0,0,0,6,10,3,10.666666666666666,0,12.7,3.7,-1.7,Dropout
2,7,1,9130,1,3,140.0,1,5,4,2,0,140.0,0,0,1,0,0,0,29,0,7,9,16,7,11.555555555555555,4,5,7,12,5,13.2,2,7.6,2.6,0.32,Dropout
1,1,1,9070,1,1,130.0,1,38,37,3,6,135.6,1,0,0,1,0,1,19,0,0,6,9,5,12.0,0,0,6,10,2,11.333333333333334,0,8.9,1.4,3.51,Dropout
1,51,1,9670,1,1,136.0,1,19,19,5,5,122.0,0,0,1,0,0,0,18,0,0,5,6,2,12.5,0,0,5,6,4,10.25,0,9.4,-0.8,-3.12,Dropout
1,17,2,9238,1,1,143.0,1,1,11,4,3,128.0,1,0,0,1,0,0,19,0,0,6,11,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
1,39,1,9130,1,3,150.0,1,3,1,90,90,150.0,1,0,0,1,0,0,34,0,1,5,6,1,11.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
1,44,1,9130,1,39,120.0,1,37,37,7,8,120.0,1,0,1,0,0,0,19,0,2,6,7,5,11.6,0,1,6,12,2,11.0,0,12.4,0.5,1.79,Dropout
1,17,1,9853,1,1,133.1,1,34,34,0,0,118.9,1,0,0,1,0,0,21,0,0,6,12,3,11.333333333333334,0,0,6,10,3,11.333333333333334,0,7.6,2.6,0.32,Dropout
1,51,1,9147,1,1,135.0,1,1,1,4,4,118.5,0,0,0,1,0,0,25,0,0,5,12,2,10.5,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
1,7,1,9085,1,40,150.0,1,19,19,9,5,150.0,0,0,1,0,0,0,26,0,0,3,3,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
1,44,1,9119,1,39,151.0,1,19,37,4,7,151.0,0,0,1,1,0,0,26,0,0,5,6,0,0.0,0,0,5,5,0,0.0,0,16.2,0.3,-0.92,Dropout
1,1,1,171,1,1,188.0,1,3,3,2,2,178.3,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
1,1,1,9254,1,1,117.0,1,19,19,9,9,116.3,1,0,0,1,0,0,24,0,0,6,9,4,12.6,0,0,6,6,4,11.5,0,12.7,3.7,-1.7,Dropout
1,1,4,171,1,1,127.0,1,1,1,9,5,124.2,1,0,0,0,0,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
1,1,1,9254,1,1,127.0,1,19,19,4,6,120.7,0,0,1,0,0,0,22,0,0,6,10,5,11.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,Dropout
1,39,1,9991,0,1,133.1,1,37,37,90,8,128.2,0,0,0,1,0,0,33,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Dropout
1,39,1,9085,1,43,160.0,1,3,39,2,3,172.0,0,0,0,1,0,0,26,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
1,1,1,9773,1,1,146.0,1,37,38,9,7,128.5,0,0,1,1,0,0,19,0,0,6,13,3,12.666666666666666,0,0,6,12,2,10.0,0,10.8,1.4,1.74,Dropout
1,1,6,9500,1,1,138.0,1,19,19,9,5,124.8,1,0,0,1,0,0,18,0,0,8,8,7,13.414285714285716,0,0,8,8,7,13.414285714285716,0,12.7,3.7,-1.7,Dropout
2,39,1,9085,1,19,133.1,1,38,38,4,7,128.2,0,0,0,1,0,0,31,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
1,18,4,9147,1,1,130.0,1,37,37,9,9,119.9,1,0,0,0,0,0,34,0,0,5,5,0,0.0,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
4,39,1,9500,1,19,133.1,1,38,19,5,7,140.0,0,0,0,1,0,1,26,0,0,7,13,5,12.74,0,0,8,12,6,10.978571428571428,0,16.2,0.3,-0.92,Dropout
1,1,6,9773,1,1,141.0,1,30,37,7,7,128.4,1,0,1,0,0,0,18,0,0,6,8,5,13.0,0,0,6,8,5,11.4,0,7.6,2.6,0.32,Dropout
1,17,2,9085,1,1,120.0,1,1,1,9,10,115.0,0,0,0,0,0,0,20,0,0,5,8,2,10.5,0,0,5,8,2,12.333333333333334,0,7.6,2.6,0.32,Dropout
1,17,1,9670,1,1,124.0,1,37,19,5,8,114.2,1,0,1,1,0,0,18,0,0,6,6,5,11.8,0,0,6,9,4,13.714285714285714,0,10.8,1.4,1.74,Dropout
1,17,1,9147,1,1,96.0,1,38,37,6,4,96.0,1,0,0,1,0,0,19,0,0,5,10,3,10.666666666666666,0,0,5,9,0,0.0,3,16.2,0.3,-0.92,Dropout
4,39,1,9085,1,1,133.1,1,34,34,0,0,128.2,0,0,0,1,0,0,25,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
1,1,1,9853,1,1,133.1,1,19,19,9,9,97.0,1,0,0,1,0,0,23,0,0,6,9,5,11.6,0,0,6,9,3,11.0,0,12.7,3.7,-1.7,Dropout
1,1,4,9500,1,1,140.0,1,1,19,4,5,127.5,0,0,0,1,0,0,18,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.7,3.7,-1.7,Dropout
1,44,1,9085,1,39,140.0,1,1,2,4,6,140.0,1,0,0,1,0,0,29,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
3,1,2,9085,1,1,135.0,1,19,1,4,4,129.4,1,0,0,1,0,0,21,0,0,5,8,0,0.0,4,0,5,12,0,0.0,4,10.8,1.4,1.74,Dropout
1,1,1,9500,1,1,141.0,1,1,1,90,3,127.8,0,0,0,1,0,1,19,0,0,7,7,0,0.0,2,0,7,7,0,0.0,2,7.6,2.6,0.32,Dropout
1,1,5,9670,1,1,133.1,1,9,1,2,4,133.0,1,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout
1,1,2,9500,1,1,140.0,1,1,19,7,7,129.9,1,0,0,1,0,0,18,0,0,7,8,7,12.92875,0,0,8,8,8,14.0625,0,15.5,2.8,-4.06,Dropout
1,7,1,9003,1,3,130.0,1,38,37,5,6,130.0,0,0,0,1,0,0,32,0,0,6,7,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
1,43,1,9853,1,1,140.0,1,37,19,9,8,122.3,0,0,0,1,0,0,22,0,0,6,9,5,13.6,0,0,6,8,5,12.0,0,12.7,3.7,-1.7,Dropout
1,43,1,8014,0,1,133.1,1,3,3,2,3,135.0,0,0,0,1,0,0,27,0,7,10,10,9,11.444444444444445,0,4,11,11,5,10.8,0,10.8,1.4,1.74,Dropout
1,1,1,9670,1,1,142.0,1,38,19,7,10,128.4,0,0,0,1,0,0,23,0,0,6,11,6,11.875,0,0,6,9,5,12.833333333333334,0,11.1,0.6,2.02,Dropout
1,39,1,9254,1,9,133.1,1,34,34,0,0,110.0,1,0,0,0,0,0,28,0,0,5,10,0,0.0,0,0,5,10,0,0.0,0,7.6,2.6,0.32,Dropout
1,1,2,9556,1,1,133.1,1,19,19,9,9,104.5,1,0,0,1,0,0,21,0,0,2,2,2,12.5,0,0,7,0,0,0.0,0,12.4,0.5,1.79,Dropout
1,7,1,9500,1,3,140.0,1,34,34,0,0,140.0,0,0,0,1,0,0,28,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,7.6,2.6,0.32,Dropout
1,1,3,9500,1,1,130.0,1,3,1,2,5,133.8,0,0,0,1,0,0,19,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,7.6,2.6,0.32,Dropout
1,43,2,9670,1,1,125.0,1,38,19,4,3,106.6,1,0,0,1,0,0,20,0,4,6,7,6,11.5,0,0,6,10,4,10.571428571428571,0,10.8,1.4,1.74,Dropout
1,39,1,9670,1,1,120.0,1,1,19,5,4,140.4,0,0,0,1,0,0,31,0,2,6,13,5,11.4,0,0,6,14,4,11.75,0,13.9,-0.3,0.79,Dropout
1,7,3,9130,1,3,130.0,1,19,37,90,5,130.0,0,0,1,0,0,0,27,0,1,5,6,2,11.5,0,0,5,5,1,11.0,0,12.7,3.7,-1.7,Dropout
1,39,1,9556,1,19,100.0,1,37,38,9,9,120.0,0,0,0,1,0,0,29,0,0,7,9,1,10.0,0,0,7,0,0,0.0,0,12.7,3.7,-1.7,Dropout
1,7,2,9085,1,3,130.0,1,3,3,1,1,130.0,0,0,0,0,0,0,28,0,0,5,9,1,12.0,1,0,4,10,0,0.0,4,10.8,1.4,1.74,Dropout
1,1,1,9130,1,1,150.0,1,5,5,2,2,146.2,0,0,0,1,0,0,18,0,0,5,12,4,13.0,2,0,5,6,5,14.0,0,9.4,-0.8,-3.12,Dropout
1,1,2,9147,1,1,125.0,1,1,19,4,6,115.2,0,1,0,1,0,0,21,0,0,5,6,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
2,39,1,8014,0,1,120.0,1,34,34,99,99,101.8,0,0,0,0,0,0,32,0,0,5,5,0,0.0,0,0,5,10,0,0.0,0,10.8,1.4,1.74,Dropout
1,39,1,9991,0,1,100.0,1,37,19,9,2,121.9,0,0,0,0,0,0,40,0,0,4,4,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Dropout
2,18,2,8014,0,1,140.0,1,37,37,9,10,120.4,0,0,1,0,0,0,39,0,0,5,5,0,0.0,0,0,4,4,0,0.0,0,9.4,-0.8,-3.12,Dropout
2,18,2,9238,1,1,140.0,1,37,37,9,10,120.4,0,0,1,0,0,0,39,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
1,17,2,9853,1,1,138.0,1,1,1,9,4,123.0,1,0,0,1,0,0,23,0,0,6,10,5,12.8,0,0,6,9,3,11.666666666666666,0,10.8,1.4,1.74,Dropout
4,39,1,8014,0,19,133.1,1,34,34,0,0,100.0,0,0,0,1,0,0,48,0,0,6,11,1,10.0,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
1,17,2,9853,1,1,118.0,1,37,37,9,9,112.1,1,0,0,1,0,0,23,0,0,6,11,4,11.25,0,0,6,10,5,10.2,0,7.6,2.6,0.32,Dropout
1,1,1,9556,1,1,180.0,103,5,3,1,1,183.5,1,0,0,1,0,0,18,1,0,7,8,4,12.0,0,0,8,8,0,0.0,0,16.2,0.3,-0.92,Dropout
1,43,1,9119,1,1,133.1,1,1,1,9,3,136.0,0,0,0,1,1,0,31,0,0,5,12,1,12.0,0,0,5,9,1,11.0,4,16.2,0.3,-0.92,Dropout
1,39,1,9147,1,1,110.0,1,37,37,9,9,110.3,0,0,1,0,1,0,26,0,0,5,5,0,0.0,0,0,5,9,0,0.0,0,10.8,1.4,1.74,Dropout
